SIG. TOP,Código,NOMBRE AUTOR,TITULO LIBRO,Edición,Cant.
R.036/96-ESEN,ESEN-01-14,Varios Autores,"Enciclopedia Ilustrada ""Cumbre""",1959,14
036/S-ESEN,ESEN-15-23,EDITORIAL RAMON SOPENA S.A.,"Enciclopedia Universal ""Sopena""",1963,9
610.03/R94-ESEN,ESEN-36,"RUIZ TORRES, F.","Diccionario de Términos Médicos Inglés-Español, Español-Inglés",1980,1
616.5/S31-ESEN,ESEN-53,Schering Corporation,Atlas  Dermatologico -Ocupacional,,1
617.22/S33-ESEN,ESEN-54,s,Infecciones Micóticas de la Piel,,1
616.56/S33-ESEN,ESEN-55,Schering Corporation,Erupciones Nodulares,,1
616.563/C26-ESEN,ESEN-57,Schering Corporation,Afecciones Cutáneas Pigmentadas,,1
R611/L83-ESEN,ESEN-59,Luis López Antunez,Atlas de Anatomía Humana,1970,1
616.5/K55-ESEN,ESEN-61,J.Kimmig. M.Jänner,Atlas de Dermatología y Venereología,1967,1
036/S37-ESEN,ESEN-62,Selecciones de Reader's Digest,El Atlas de Nuestro Tiempo,1964,1
920/V42-ESEN,ESEN-72-73,Fanis Untermeyer,Forjadores del Mundo Moderno,1961,2
615.537/M29-ESEN,ESEN-79,E.Maury. Ch. de Rudder,Diccionario Familiar de Medicina Natural,1981,1
610.03/S36-ESEN,ESEN-81,Luigi Segatore,Diccionario Médico,1960,1
610.03/D-ESEN,ESEN-82,José Mascaró y Porcar,Diccionario Terminológico de las Ciencias Médicas,1977,1
610.03/C26-ESEN,ESEN-83,L. Cardenal,Diccionario Terminológico de Ciencias Médicas,1958,1
R610.03/D-ESEN,ESEN-84,Juan Carlos Merlo,Diccionario de Ciencias Médicas Dorland,1966,1
615.1/R70-ESEN,ESEN-85,The Medical Letter,Compendio de Interacciones de Medicamentos,1985,1
985.072/P84-ESEN,ESEN-89,Alfredo Prada Ojeda,Guía Biográfica del Perú,1959,1
616/M-ESEN,ESEN-99,Robert Berkow,"El Manual de Merck, de Diagnóstico y Terapeutica",1978,1
613.036/R36-ESEN,ESEN-100-101,F.Reinhard,Enciclopedia de la Salud  ,1989,2
030/D-ESEN,"ESEN-104,106,107",Ed. Ramón Sopena,Diccionario Enciclopédico Ilustrado  I,1954,3
403/G86-ESEN,ESEN-109-110,Mauricio Gueventter,Diccionario Enciclopédico y Atlas Universal  I,1861,2
403/D46-ESEN,ESEN-111,Miguel Toro y Gisbert,Pequeño Larousse Ilustrado,1964,1
610/C74-ESEN,ESEN-112,H.Conn. R.Rakel. T.Johnson,"Medicina Familiar, Teoría y Práctica",1974,1
302.2/B-ESEN,"ESEN-118,1547-1548","BERLO, David K.",El Proceso de la Comunicación,1993,3
302.2/B-ESEN,ESEN-119,"BERLO, David K.",El Proceso de la Comunicación,1979,
109/B82-ESEN,ESEN-122,Emile Brehier,Historia de la filosofía   III,1962,1
111/V52-ESEN,ESEN-125,Roger Verneaux ,Filosofía del Hombre,1981,1
100/M64-ESEN,ESEN-128,Francisco Miró Quesada,Para Iniciarse en la Filosofía,1981,1
102/A27-ESEN,ESEN-129,Víctor Afanasiev,Manual de Filosofía,1964,1
150/W62-ESEN,ESEN-138-139,"WHITTAKER, James",Psicología,1977,2
302/M93-ESEN,ESEN-142,Federico Munné M.,Psicología social,1980,1
155/B13-ESEN,ESEN-184,Yordi  Bachs,Psicología diferencial,1980,1
610.73/G18-ESEN,"ESEN-185, 1737, 2024, 2129-2130, 2512-2514, 3011","CASTILLO, B.; RIVAS, L.; SALAZAR, L.; ALEGRIA, M.",Manual de Técnicas y Prodecimientos de Enfermería,1992,9
155.7/B29-ESEN,ESEN-190,Ruth M. Beard,Psicología Evolutiva de Piaget,1971,1
155.5/J74-ESEN,ESEN-212,Irene M. Yosselyn,El Adolescente y su Mundo,1973,1
155.5/T46-ESEN,ESEN-213,Jorge Thenon,Neurosis Juveniles,1971,1
155.3/D65-ESEN,ESEN-216,Helene Deutsch,La psicología de la mujer,1960,1
155.3/C66-ESEN,ESEN-221,E.Cockefair. A.Cockefair. R.O'Connor. C.Stromberg,"Guía Sexual para su Hijo, Manual para Padres",1973,1
155.6462/J77-ESEN,ESEN-223,Susan Isaccs,Conflictos entre Padres e Hijos,1973,1
170/M12-ESEN,ESEN-232-233,"FAGOTHEY, Austin","Ética, teoría y aplicación",1972,2
170/S21-ESEN,ESEN-234-235,"SANCHEZ VASQUEZ, Adolfo",Ética,1975,2
174.2/V28-ESEN,ESEN-237,"VARGAS TIZON, Virginia",Ética para enfermeras,1990,1
220/T73-ESEN,ESEN-241,Felix Torres Amat,Sagrada Biblia,1957,1
225/H96-ESEN,ESEN-243,Bernardo Hurault,Nuevo Testamento de la Biblia Latinoamericana,1963,1
259.1/S63-ESEN,ESEN-249,P. Clemente Sobrado,La Comunión Familiar,1982,1
301/H19-ESEN,ESEN-263,C.Hambling. P.Matthews,Sociología Perspectiva y Desarrollo de la Sociedad Humana,1978,1
301/C97-ESEN,ESEN-266,Armand Curvillier,Manual de Sociología,1970,1
302.5/F54-ESEN,ESEN-268,Gregorio Fingermann,"Relaciones Humanas, Fundamentos Psicológicos y Sociales",1967,1
371.22/W38-ESEN,ESEN-272-273,"WEIL, Pierre",Relaciones Humanas en el Trabajo y en la Familia,1965,2
306/B63-ESEN,ESEN-276,Franz Boas,Cuestiones Fundamentales de Antropología Cultural,1964,1
573/S86-ESEN,ESEN-277-279,Benjamín Subercaseaux,Historia Inhumana del Hombre,1964,3
306/S18-ESEN,ESEN-281-282,Zdenek Salzmann,"Antropología, Panorama General",1978,2
306/S55-ESEN,ESEN-283,"SILVA SANTISTEBAN, Fernando","Antropología, Conceptos y Nociones Generales",1977,1
306/K38-ESEN,ESEN-284,Isabel Kelly,"La Antropología, la Cultura y la Salud Pública",1960,1
001/A57-ESEN,ESEN-292,Ezequiel Ander-Egg,Técnicas de Investigación Social,1980,1
001.42/T29-ESEN,ESEN-293,"TECLA, A.; GARZA, A.","Teoría, Métodos y Técnicas en la Investigación Social",1974,1
001.42/A18-ESEN,"ESEN-305,307","ACOSTA, J.; COHAILA, L.","Metodología de la Investigación, Apuntes para el Trabajo Universitario",1986,2
001.42/C23-ESEN,"ESEN-308-309,315, 1907","DE CANALES, F.; DE ALVARADO, E.; PINEDA, E.","Metodología de la Investigación, Manual para el Desarrollo de Personal de Salud",1986,4
300.72/38-ESEN,ESEN-310,"WEISS, Carol","Investigación Evaluativa, Métodos para Determinar la Eficiencia de los Programas de Acción",1980,1
371.610/O65-ESEN,"ESEN-312, 1584, 1876-1878, 2645, 2177-2178, 3427-3431",OPS,"Guía para el Diseño, Utilización y Evaluación de Materiales Educativos de Salud",1984,14
376.541/Z86-ESEN,"ESEN-314, 1552, 3175",Armando Zubizarreta,"La Aventura del Trabajo Intelectual, Como Estudiar e Investigar",1986,3
302.3/B54-ESEN,ESEN-344,"BION, W.R.",Experiencias en Grupos,1980,1
376.541/C26-ESEN,ESEN-345-346,"CARRILLO, Francisco",Como Hacer la Tesis y el Trabajo de Investigación Universitario,1980,2
376.5/L16-ESEN,ESEN-353,Pedro D. Lafourcade,"Planeamiento, Conducción y Evaluación en al Enseñanza Superior",1974,1
001/B92-ESEN,ESEN-384,"BUNGE, Mario",La Investigación Científica; Su Estrategia y su Filosofía,1983,1
515.83/T27-ESEN,ESEN-389,"TAYLOR, Howard; WADE, Thomas",Cálculo Diferencial e Integral,1981,1
574.192/H22-ESEN,ESEN-399,H.Harper. V.Rodwell. P.Mayes,Manual de Química Fisiológica,1978,1
574.192/H22-ESEN,ESEN-400,Harold A. Harper,Manual de Química Fisiológica,1971,1
541.3/G88-ESEN,ESEN-403-404,GUERASIMOV; DREVING; ERIOMIN y otros,Curso de Química Física,1977,2
574.192/C23-ESEN,ESEN-405,"CANTAROW, A.; SCHEPARTZ B.",Bioquímica,1964,1
574.192/G71-ESEN,ESEN-407,J.M. Gonzáles de Buitrago,Bioquímica y Biofísica para Estudiantes de Enfermería,1980,1
574.192/H22-ESEN,ESEN-408-409,"MARTIN, D.; MAYES, P.; RODWELL, V.",Bioquímica de Harper,1982,2
574.192/T72-ESEN,ESEN-410-411,"TOPOREK, Milton",Bioquímica,1984,2
574/V67-ESEN,ESEN-414,"VILLEE, Claude",Biología,1974,1
574/B16-ESEN,ESEN-416,"BAKER, J.; ALLEN, G.",Biología e Investigación Científica,1970,1
574/P86-ESEN,ESEN-417,"PRIETO H.; LAGUENS, R.",Biología Médica,1965,1
574.5/C59-ESEN,ESEN-420,"CLARKE, George",Elementos de Ecología,1963,1
574.5/O44-ESEN,ESEN-421,"OLIVIER, Santiago",Elementos de Ecología,1976,1
574.5/T95-ESEN,ESEN-422,"TURK, Amos",Ecología-contaminación-medio ambiente,1973,1
610.73/L65-ESEN,"ESEN-424, 4309-4310","Lynn, Pamela",Manual de Competencias y Procedimientos Enfermería Clínica de Taylor,2016,3
610.7/F14-ESEN,ESEN-438,E.Fuerst. L.Verne,Principios Fundamentales de Enfermería,1958,1
610.7/K93-ESEN,ESEN-465,DEP.ENF.HOSPITAL DE BOSTON,Manual de Procedimientos de Enfermería,1984,1
610.7/K83-ESEN,"ESEN474,476",Thora Kron,Manual de Enfermería,1973,2
610.73/D88-ESEN,"ESEN-488, 3487-3488, 3507-3508","DU GAS, Beverly",Tratado de Enfermería Práctica,2000,5
610.73/P86-ESEN,"ESEN-489,491, 505-507","PRICE, Alice",Tratado de Enfermería,1966,5
610.7/N82-ESEN,ESEN-494-498,M.Nordmark. A.Rohweder,Bases Científicas de la Enfermería,1979,5
610.7/N82-ESEN,ESEN-499.501-503,Madlyn T. Nordmark,Principios Científicos Aplicados a la Enfermería,1967,4
610.7/D88-ESEN,"ESEN-508, 1325, 1328, 1788-1792, 2401, 2891-2892, 3407-3409",B.W. Du Gas,Tratado de Enfermería Práctica,1986,13
610.7/D88-ESEN,ESEN-510,"DU GAS, Beverly",Tratado de Enfermería Práctica,1986,1
610.7/D88-ESEN,ESEN-517,Beverly Witter Du Gas,Tratado de Enfermería Práctica de Kozier-Du Gas,1974,1
610.736/S61-ESEN,ESEN-521-522,D.Smith. C.Gips,Enfermería Médico Quirúrgica ,1969,2
610.734/A67-ESEN,ESEN-541-546,"ARCHER, SARA; FLESHMAN, RUTH",Enfermería de Salud Comunitaria: Modalidades y Práctica,1977,6
610.736/W56-ESEN,ESEN-560,"WHALEY, Lucille; WONG, Donna",Tratado de Enfermería Pediátrica,1995,1
610.736/R34-ESEN,ESEN-564,"REEDER, Sharon; MASTROIANNI, Luigi; MARTIN, Leonide",Enfermería Maternoinfantil,1978,1
610.73/H66-ESEN,ESEN-594-596,Ch.Hofling. M.Leiniger. E.Bregg,Enfermería Psiquiatrica,1970,3
610.734/L23-ESEN,ESEN-601,"LANCASTER, Jeanette",Enfermería comunitaria: Modelos de Prevención de la Salud Mental,1983,1
610.736/C62-ESEN,"ESEN-605,607, 1339-1341, 1978-1979, 2895, 3111","CLIMENT, Carlos; De Arango, María",Manual de psiquiatría para trabajadores de atención primaria,1983,9
610.736/M79-ESEN,ESEN-609-611,"MORGAN, Arthur; MORENO, Judith",La práctica de enfermería de salud mental,1979,3
610.736/V63-ESEN,ESEN-612-615,"VIGURIA SALVADOR, Lucía",Intervención de la enfermera en Semiología Psiquiatrica,1981,4
610.73/S21-ESEN,ESEN-620-626,"SANA, JOSEPHINE; JUDGE, RICHARD",Métodos para el Examen Físico en la Práctica de Enfermería,1977,7
658.913/B17-ESEN,ESEN-639,"BALDERAS, Maria de la Luz",Administración de los Servicios de Enfermería,1983,1
174.2/D69-ESEN,ESEN-646,Alvaro Díaz,Deontología de la Enfermera,1970,1
610.7/S31-ESEN,"ESEN-647, 1817, 1819-1820",SCHNIEDMAN R.; LAMBERT S.; Y WANDER B.,Manual de procedimientos en Enfermería,1986,4
610.73/I97-ESEN,"ESEN-649-651, 1318, 2858-2859","IYER, P.; TAPTICH, B.; BERNOCCHI-LOSEY, D.",Proceso de Enfermería y Diagnóstico de Enfermería,1986,6
610.730/M81-ESEN,ESEN-652,FRANK Ch.,Desarrollo Histórico de la Enfermería,1961,1
610.730/M74-ESEN,ESEN-653,"MOLINA, Teresa",Historia de la Enfermería,1961,1
610.730/J19-ESEN,ESEN-654-655,JAMIESON E.; SEWAL M.; SUHRIE,Historia de la Enfermería,1968,2
610.985/L27-ESEN,ESEN-656-658,Juan B. Lastres,Historia de la Medicina Peruana,1951,3
612/A59-ESEN,ESEN-662,C. Parker A.,Anatomía y fisiología,1974,1
611.9/T42-ESEN,ESEN-677-678,L.Testud. O. Jacob,"Tratado de Anatomía Topográfica, con Aplicaciones Medicoquirúrgicas",1982,2
612.64/J89-ESEN,ESEN-682,"JUNQUEIRA, Luiz; ZAGO, Douglas",Fundamentos de Embriología Humana,1978,1
616.24/E39-ESEN,ESEN-699,Hans Elías,El Pulmón,1965,1
610.736/S6-ESEN,ESEN-706,D.Smith. C.Gips. C.Hanley,Enfermería Médico Quirúrgica ,1969,1
612.6/B94-ESEN,ESEN-708,"BURT, John; BROWER, Linda","Educación Sexual, Información y planes de enseñanza",1972,1
616.072/S95-ESEN,ESEN-725,"SUROS, J.",Semiología Médica y Técnica Exploratoria,1968,1
613/B99-ESEN,ESEN-729,"BYRD, Oliver",Higiene,1962,1
613.W72-ESEN,ESEN-730-732,"WILLGOOSE, Carl",Enseñanza de higiene,1965,3
614.303/C22-ESEN,ESEN-733,"CAMUS GUNDIAN, Daniel",Compendio de Higiene y Salud Pública,1958,1
613/C26-ESEN,ESEN-735,"CARBONELL, Manuel",Higiene,1962,1
613.9/B72-ESEN,ESEN-749-750,Colectiva del libro de salud de las mujeres de Boston,"Nuestros Cuerpos, Nuestras Vidas",1977,2
302.610/O65-ESEN,"ESEN-755-756, 2166-2167, 2760",OPS,Manual de técnicas para una estrategia de comunicación en salud,1985,5
610.734/W47-ESEN,"ESEN-757-758, 1335, 1638, 1772-1773, 1862-1863, 1934, 2998-3000, 3311","WERNER, David; BOWER, Bill",Aprendiendo a promover la salud,1984,13
614.772/M12-ESEN,"ESEN-762-763,1270-1271,2883-2884","McJUNKIN, Eugene",Agua y salud humana,1986,2
613.62/S64-ESEN,ESEN-771,Sociedad Peruana de Salud Ocupacional,II Congreso Peruano de Salud Ocupacional,1970,1
363.25/G96-ESEN,ESEN-774,César Moron E.,Criminalística Elemental,1950,1
614.88/A59-ESEN,ESEN-775,"ANCHITZ, Gustavo",Primeros Auxilios: Con nociones fundamentales de patología general,1957,1
616.026/C71-ESEN,ESEN-778,"COLE, Warren; PUESTOW, Charles",Primeros Auxilios,1970,1
614.88/S16-ESEN,ESEN-780,"SAPONARO, Aldo",Los primeros auxilios,1980,1
614.4/G32-ESEN,ESEN-785-791,"GAYOSO, Carlos",Nociones de Epidemiología,1979,7
